,Composition,VEC,Electronegativity_Difference,Atomic_Radius_Diff,Mixing_Enthalpy,Mixing_Entropy,E/A,EWF,Mod_Mismatch,DeltaG,ShearModG,Tm,Ec,Cond__AC,Cond__AM,Cond__HM,Cond__PM,Cond__WR,Li,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Ni,Co,Cu,Zn,Zr,Nb,Mo,Sn,Hf,Ta,W,HV
15,Al0.059 Co0.235 Cr0.235 Fe0.235 Ni0.235 ,7.93993993993994,0.10605886439591544,3.4843643926452548,-6.76554432310188,12.711080840567384,1.1563463463463464,11595.456714439062,-0.03807567856679713,0.06605526096572975,83.3973973973974,1803.3851351351352,4.248608608608609,1,0,0,0,0,0.0,0.0,0.05905905905905906,0.0,0.0,0.0,0.0,0.2352352352352353,0.0,0.2352352352352353,0.2352352352352353,0.2352352352352353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
18,Al0.059 Mo0.235 Nb0.235 Ti0.235 V0.235 ,4.881881881881882,0.2431930252952518,4.0030936624553,-6.269172074977881,12.711080840567384,1.295135135135135,7026.348892885825,-0.04058268211590435,0.08236253814868688,36.585585585585584,2346.0728228228227,5.9752352352352345,1,0,0,0,0,0.0,0.0,0.05905905905905906,0.0,0.0,0.2352352352352353,0.2352352352352353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352352352352353,0.2352352352352353,0.0,0.0,0.0,0.0,460.0
19,Al0.060 Nb0.200 Ta0.160 Ti0.280 V0.040 Zr0.260 ,4.34,0.10659530946528556,5.304755211777447,-4.863999999999999,13.46385650214222,1.4384,5762.729134298096,-0.037651390435498255,0.0852169491973173,42.98,2307.975000000001,6.2088,1,0,0,0,0,0.0,0.0,0.06,0.0,0.0,0.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.2,0.0,0.0,0.0,0.16,0.0,500.0
20,Al0.060 Nb0.200 Ta0.200 Ti0.280 Zr0.260 ,4.34,0.10318449495927186,4.8446224545378564,-4.409599999999998,12.63174110509094,1.4652,5746.416456280083,-0.04312216233674231,0.0951709923940308,43.86,2351.735,6.320400000000001,1,0,0,0,0,0.0,0.0,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.2,0.0,0.0,0.0,0.2,0.0,490.0
22,Al0.062 Cr0.312 Fe0.469 Ni0.156 ,7.377377377377377,0.10042661462154227,3.6123426915557313,-5.4486598710822935,9.818709438554981,1.1482182182182183,9325.111615213884,-0.03960875324590711,0.06544936465061242,87.89389389389389,1841.4709709709714,4.193533533533533,1,0,0,0,0,0.0,0.0,0.06206206206206207,0.0,0.0,0.0,0.0,0.3123123123123123,0.0,0.4694694694694694,0.15615615615615616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0
23,Al0.067 Co0.133 Cr0.133 Cu0.133 Fe0.133 Ni0.133 Ti0.267 ,7.128128128128131,0.1536773269709264,7.3125722492254726,-16.646632618604592,15.599029975863964,1.1935235235235235,9634.619557158056,-0.06903053600036294,0.14993938729378706,66.22422422422423,1749.4049549549552,4.27945945945946,1,0,0,0,0,0.0,0.0,0.06706706706706707,0.0,0.0,0.2672672672672673,0.0,0.13313313313313313,0.0,0.13313313313313313,0.13313313313313313,0.13313313313313313,0.13313313313313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0
24,Al0.067 Co0.133 Cr0.133 Cu0.133 Fe0.133 Ni0.133 V0.267 ,7.395395395395397,0.12449118930419345,3.8923057477085226,-7.103131159187216,15.599029975863964,1.1293793793793794,9534.574994363664,-0.06461403364758568,0.13883287066459693,67.02602602602603,1814.083633633633,4.402402402402402,1,0,0,0,0,0.0,0.0,0.06706706706706707,0.0,0.0,0.0,0.2672672672672673,0.13313313313313313,0.0,0.13313313313313313,0.13313313313313313,0.13313313313313313,0.13313313313313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0
25,Al0.068 Co0.137 Cr0.137 Cu0.137 Fe0.137 Ni0.137 Ti0.247 ,7.2200000000000015,0.15202252990922094,7.209688349261117,-15.855807999999998,15.712860891820064,1.19318,9738.686694055708,-0.06896159726357268,0.14768725634982274,66.888,1745.0872,4.26437,1,0,0,0,0,0.0,0.0,0.068,0.0,0.0,0.247,0.0,0.13699999999999998,0.0,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0
26,Al0.068 Co0.137 Cr0.137 Cu0.137 Fe0.137 Ni0.137 V0.247 ,7.4670000000000005,0.12406062026283765,3.9077742138289495,-6.793872000000001,15.712860891820064,1.1339,9645.365766676856,-0.06475813426682513,0.13741825696083684,67.62899999999999,1804.8612,4.3779900000000005,1,0,0,0,0,0.0,0.0,0.068,0.0,0.0,0.0,0.247,0.13699999999999998,0.0,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0
27,Al0.069 Co0.137 Cr0.137 Cu0.137 Fe0.137 Ni0.137 Ti0.246 ,7.2189999999999985,0.151943054793564,7.2067268877260835,-15.859084,15.723507863539009,1.1950500000000002,9738.054486276,-0.06917184530274692,0.14802342760368226,66.87,1744.08745,4.26291,1,0,0,0,0,0.0,0.0,0.069,0.0,0.0,0.246,0.0,0.13699999999999998,0.0,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0
28,Al0.069 Co0.137 Cr0.137 Cu0.137 Fe0.137 Ni0.137 V0.246 ,7.465,0.1240847577263219,3.924250748798013,-6.8200600000000025,15.723507863539009,1.1360100000000002,9645.114900492676,-0.0649804923474397,0.13778957625253674,67.608,1803.61945,4.37607,1,0,0,0,0,0.0,0.0,0.069,0.0,0.0,0.0,0.246,0.13699999999999998,0.0,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0
29,Al0.070 Co0.141 Cr0.141 Cu0.141 Fe0.141 Ni0.141 Ti0.225 ,7.314,0.1499706091205873,7.082735964127084,-14.96916,15.821276465108307,1.1947599999999998,9846.660367879007,-0.06899794901820601,0.14556267844529905,67.556,1739.5860999999998,4.24725,1,0,0,0,0,0.0,0.0,0.07,0.0,0.0,0.225,0.0,0.141,0.0,0.141,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0
30,Al0.070 Co0.141 Cr0.141 Cu0.141 Fe0.141 Ni0.141 V0.225 ,7.539,0.12350559137140307,3.9389781871992144,-6.47316,15.821276465108307,1.1407599999999998,9760.835524675329,-0.0650448673091208,0.13620316016080428,68.23100000000001,1794.0360999999998,4.35075,1,0,0,0,0,0.0,0.0,0.07,0.0,0.0,0.0,0.225,0.141,0.0,0.141,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0
31,Al0.070 Co0.233 Cr0.233 Cu0.233 Fe0.233 ,8.115768463073852,0.10532554790718174,3.720167820460581,2.743076720809877,12.82692715367351,1.1404191616766468,9925.126021419821,-0.06363687512405286,0.1237722352803724,76.22754491017966,1707.7308383233533,4.017844311377245,1,0,0,0,0,0.0,0.0,0.06986027944111776,0.0,0.0,0.0,0.0,0.2325349301397205,0.0,0.2325349301397205,0.0,0.2325349301397205,0.2325349301397205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
32,Al0.070 Co0.233 Cr0.233 Fe0.233 Ni0.233 ,7.88323353293413,0.10752867749766323,3.7597976780780513,-7.273098513551737,12.82692715367351,1.1776247504990018,11515.525610780664,-0.041427587458246304,0.07180201759689793,82.73852295409182,1793.3967065868264,4.23875249500998,1,0,0,0,0,0.0,0.0,0.06986027944111776,0.0,0.0,0.0,0.0,0.2325349301397205,0.0,0.2325349301397205,0.2325349301397205,0.2325349301397205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
33,Al0.070 Cr0.233 Fe0.233 Ni0.465 ,8.113886113886114,0.11299580844657152,3.785631884496141,-8.335336990681645,10.150434494606014,1.2079020979020978,12026.601310843234,-0.0407000419469613,0.0709551169200287,82.97802197802197,1783.687812187812,4.25018981018981,1,0,0,0,0,0.0,0.0,0.06993006993006994,0.0,0.0,0.0,0.0,0.23276723276723274,0.0,0.23276723276723274,0.4645354645354645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
34,Al0.070 Cr0.233 Fe0.349 Mn0.233 Ni0.116 ,7.183816183816183,0.12966282694038012,4.705147684876775,-5.506928635799763,12.320092387689304,1.1695504495504494,7943.252955781505,-0.0396854002552957,0.06725274641390636,84.13886113886112,1744.5419580419573,3.8778421578421582,1,0,0,0,0,0.0,0.0,0.06993006993006994,0.0,0.0,0.0,0.0,0.23276723276723274,0.23276723276723274,0.3486513486513486,0.11588411588411587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0
35,Al0.071 Co0.186 Cr0.186 Fe0.186 Mn0.186 Ni0.186 ,7.645354645354644,0.13924737321857278,4.545728834528185,-7.860998142716426,14.561263300857425,1.1815884115884117,9771.687836510666,-0.03857910139516822,0.06745062161324646,81.000999000999,1729.0457042957041,3.980889110889111,1,0,0,0,0,0.0,0.0,0.07092907092907093,0.0,0.0,0.0,0.0,0.18581418581418585,0.18581418581418585,0.18581418581418585,0.18581418581418585,0.18581418581418585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0
36,Al0.072 Co0.145 Cr0.145 Cu0.145 Fe0.145 Ni0.145 Ti0.203 ,7.407999999999999,0.14764169600759802,6.9365685464540485,-14.005840000000005,15.906584863230592,1.19634,9955.629798337653,-0.06891295381965112,0.14330084704419213,68.22399999999999,1734.085,4.23013,1,0,0,0,0,0.0,0.0,0.07200000000000001,0.0,0.0,0.203,0.0,0.145,0.0,0.145,0.145,0.145,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0
37,Al0.072 Co0.145 Cr0.145 Cu0.145 Fe0.145 Ni0.145 V0.203 ,7.6110000000000015,0.12281258852414112,3.9684052311459377,-6.122944,15.906584863230592,1.14762,9877.45494924511,-0.06522982460064393,0.13485638526466728,68.833,1783.211,4.32351,1,0,0,0,0,0.0,0.0,0.07200000000000001,0.0,0.0,0.0,0.203,0.145,0.0,0.145,0.145,0.145,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0
38,Al0.074 Cr0.185 Cu0.185 Fe0.185 Ni0.370 ,8.555555555555554,0.11039895230213984,3.8594230067632784,-1.7009602194787372,12.45133238866609,1.2025925925925924,11518.08939556434,-0.056683422839865424,0.10864543500469592,75.44444444444444,1689.0555555555552,4.093703703703704,1,0,0,0,0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.1851851851851852,0.3703703703703704,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
39,Al0.075 Co0.149 Cr0.149 Cu0.149 Fe0.149 Ni0.149 Ti0.179 ,7.504504504504503,0.14482665066460212,6.7593791194727375,-12.918508097687273,15.976037997973904,1.1998498498498498,10069.071999203568,-0.06888745446134789,0.14115032923320658,68.89889889889888,1727.3785285285282,4.21091091091091,1,0,0,0,0,0.0,0.0,0.07507507507507506,0.0,0.0,0.17917917917917914,0.0,0.14914914914914912,0.0,0.14914914914914912,0.14914914914914912,0.14914914914914912,0.14914914914914912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0
40,Al0.075 Co0.149 Cr0.149 Cu0.149 Fe0.149 Ni0.149 V0.179 ,7.6836836836836815,0.12197203892442104,4.013820478030362,-5.751340930520108,15.976037997973904,1.156846846846847,9999.388689498404,-0.06552086144292064,0.1336959839983264,69.43643643643642,1770.7398898898896,4.293333333333333,1,0,0,0,0,0.0,0.0,0.07507507507507506,0.0,0.0,0.0,0.17917917917917914,0.14914914914914912,0.0,0.14914914914914912,0.14914914914914912,0.14914914914914912,0.14914914914914912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0
41,Al0.077 Co0.154 Cr0.154 Cu0.154 Fe0.154 Ni0.154 Ti0.154 ,7.615384615384612,0.14138787976477574,6.53474650091308,-11.597633136094673,16.006347178737126,1.2007692307692306,10199.86411160768,-0.0683557450090466,0.13802026226919867,69.69230769230771,1721.4192307692306,4.191538461538461,1,0,0,0,0,0.0,0.0,0.07692307692307691,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0
42,Al0.077 Co0.154 Cr0.154 Cu0.154 Fe0.154 Ni0.154 V0.154 ,7.769230769230767,0.12079127677269867,4.035759671898544,-5.254437869822484,16.006347178737126,1.1638461538461538,10139.360888978572,-0.06535351233483926,0.13162944367497692,70.15384615384615,1758.6499999999994,4.262307692307692,1,0,0,0,0,0.0,0.0,0.07692307692307691,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0
44,Al0.077 Co0.308 Fe0.308 Ni0.308 ,8.538461538461537,0.076999961576875,3.9449302563709088,-6.059171597633134,10.686520136440947,1.2284615384615385,12806.0467916438,-0.02384104028654756,0.03652790913568195,73.69230769230771,1703.1730769230767,4.294615384615383,1,0,0,0,0,0.0,0.0,0.07692307692307691,0.0,0.0,0.0,0.0,0.0,0.0,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
45,Al0.077 Co0.308 Fe0.308 Ni0.308 ,8.538461538461537,0.076999961576875,3.9449302563709088,-6.059171597633134,10.686520136440947,1.2284615384615385,12806.0467916438,-0.02384104028654756,0.03652790913568195,73.69230769230771,1703.1730769230767,4.294615384615383,1,0,0,0,0,0.0,0.0,0.07692307692307691,0.0,0.0,0.0,0.0,0.0,0.0,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0
46,Al0.079 Co0.159 Cr0.159 Cu0.159 Fe0.159 Ni0.159 Ti0.127 ,7.733266733266733,0.13723299667482272,6.2570332702889635,-10.080792334538584,15.993391577436588,1.2018081918081915,10340.482812100056,-0.06758268491634223,0.13453904607146416,70.53546453546451,1715.0491008991007,4.17088911088911,1,0,0,0,0,0.0,0.0,0.07892107892107891,0.0,0.0,0.12687312687312685,0.0,0.15884115884115882,0.0,0.15884115884115882,0.15884115884115882,0.15884115884115882,0.15884115884115882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0
47,Al0.079 Co0.159 Cr0.159 Cu0.159 Fe0.159 Ni0.159 V0.127 ,7.86013986013986,0.11931197705559278,4.0569467022332635,-4.68342446764025,15.993391577436588,1.171358641358641,10289.992562318152,-0.06500382301962643,0.1292803796334893,70.91608391608389,1745.7523976023972,4.229250749250749,1,0,0,0,0,0.0,0.0,0.07892107892107891,0.0,0.0,0.0,0.12687312687312685,0.15884115884115882,0.0,0.15884115884115882,0.15884115884115882,0.15884115884115882,0.15884115884115882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
48,Al0.079 Co0.184 Cr0.184 Fe0.184 Mn0.184 Ni0.184 ,7.6046046046046065,0.13929247425606078,4.656159292041892,-8.247174101027957,14.6224734331168,1.197627627627628,9733.51296193838,-0.04092648526146556,0.0717198453462692,80.51851851851852,1722.0648148148148,3.975705705705706,1,0,0,0,0,0.0,0.0,0.07907907907907909,0.0,0.0,0.0,0.0,0.1841841841841842,0.1841841841841842,0.1841841841841842,0.1841841841841842,0.1841841841841842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
49,Al0.080 Co0.170 Cr0.140 Cu0.080 Fe0.170 Mo0.001 Ni0.349 Ti0.010 W0.001 ,8.383616383616385,0.11038659526397053,4.283085744687199,-5.9340459740060165,14.204290108094597,1.2210389610389611,12297.945547033527,-0.047745661775832296,0.08741855557300869,75.77922077922078,1715.9460539460538,4.207872127872128,1,0,0,0,0,0.0,0.0,0.07992007992007992,0.0,0.0,0.009990009990009992,0.0,0.1398601398601399,0.0,0.16983016983016985,0.3486513486513487,0.16983016983016985,0.07992007992007992,0.0,0.0,0.0,0.0009990009990009992,0.0,0.0,0.0,0.0009990009990009992,231.0
51,Al0.080 Co0.170 Cr0.170 Cu0.080 Fe0.170 Ni0.330 ,8.33,0.10806479537758812,3.9853542126640544,-5.1292,13.915692709847159,1.2136,12137.627999383665,-0.048628414560002685,0.08817312238569329,77.24,1722.868,4.1865000000000006,1,0,0,0,0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.33,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
53,Al0.080 Hf0.120 Nb0.200 Ta0.200 Ti0.200 Zr0.200 ,4.319999999999999,0.11583850827768805,4.9230841292050735,-6.329599999999999,14.500756524877705,1.556,5460.862860169677,-0.05145372009132727,0.11278687478055473,42.48,2388.26,6.3980000000000015,1,0,0,0,0,0.0,0.0,0.08,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.12,0.2,0.0,500.0
54,Al0.082 Co0.164 Cr0.164 Cu0.164 Fe0.164 Ni0.164 Ti0.098 ,7.853999999999999,0.13224155322741785,5.916874152146482,-8.373183999999998,15.923749867099831,1.20478,10486.723152816998,-0.06671789786940982,0.13111011216414967,71.38799999999998,1707.4548999999995,4.148079999999998,1,0,0,0,0,0.0,0.0,0.08199999999999999,0.0,0.0,0.09799999999999998,0.0,0.16399999999999998,0.0,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0
55,Al0.082 Co0.164 Cr0.164 Cu0.164 Fe0.164 Ni0.164 V0.098 ,7.951999999999999,0.11756275600716408,4.093376057423277,-4.0658879999999975,15.923749867099831,1.18126,10447.245665569002,-0.06463637874372344,0.1270575320100185,71.68199999999999,1731.1708999999994,4.193159999999999,1,0,0,0,0,0.0,0.0,0.08199999999999999,0.0,0.0,0.0,0.09799999999999998,0.16399999999999998,0.0,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0
56,Al0.085 Co0.169 Cr0.169 Cu0.169 Fe0.169 Ni0.169 Ti0.068 ,7.978957915831662,0.126358940169328,5.501247126220872,-6.467472018184662,15.767698176864302,1.2078256513026049,10639.88284098606,-0.06551785598271317,0.12739340423915874,72.27054108216433,1699.6118737474944,4.124498997995992,1,0,0,0,0,0.0,0.0,0.08517034068136271,0.0,0.0,0.06813627254509018,0.0,0.1693386773547094,0.0,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
57,Al0.085 Co0.169 Cr0.169 Cu0.169 Fe0.169 Ni0.169 V0.068 ,8.047094188376754,0.11547298039267133,4.128078674309239,-3.3733478982012115,15.767698176864302,1.1914729458917834,10612.088372498487,-0.06400245133323021,0.12458427699258255,72.4749498997996,1716.1008517034063,4.1558416833667335,1,0,0,0,0,0.0,0.0,0.08517034068136271,0.0,0.0,0.0,0.06813627254509018,0.1693386773547094,0.0,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
58,Al0.086 Co0.229 Cr0.229 Fe0.229 Ni0.229 ,7.799401197604791,0.10957952400420308,4.119533335391379,-7.998545822526602,12.971304078339472,1.2090818363273452,11398.200377824951,-0.04614901566201637,0.08038550912749823,81.76447105788424,1778.6302395209582,4.224181636726547,1,0,0,0,0,0.0,0.0,0.08582834331337325,0.0,0.0,0.0,0.0,0.2285429141716567,0.0,0.2285429141716567,0.2285429141716567,0.2285429141716567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
61,Al0.088 Co0.175 Cr0.175 Cu0.175 Fe0.175 Ni0.175 Ti0.035 ,8.120240480961924,0.11880109572973199,4.937413245061145,-4.169059562009791,15.448497361249403,1.2102004008016032,10814.976299744536,-0.06367837213376437,0.12284901573198105,73.27454909819639,1691.3436873747494,4.098767535070141,1,0,0,0,0,0.0,0.0,0.08817635270541081,0.0,0.0,0.035070140280561116,0.0,0.1753507014028056,0.0,0.1753507014028056,0.1753507014028056,0.1753507014028056,0.1753507014028056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0
62,Al0.088 Co0.175 Cr0.175 Cu0.175 Fe0.175 Ni0.175 V0.035 ,8.155310621242483,0.11274127922718882,4.154089339002292,-2.519989879558717,15.448497361249403,1.2017835671342687,10800.466711793191,-0.06285700382884768,0.12140955219557732,73.37975951903806,1699.8306613226453,4.114899799599198,1,0,0,0,0,0.0,0.0,0.08817635270541081,0.0,0.0,0.0,0.035070140280561116,0.1753507014028056,0.0,0.1753507014028056,0.1753507014028056,0.1753507014028056,0.1753507014028056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0
